"parameter_set_id","description","strategy","mean_estimated_rate","mean_true_rate","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","p_monitor","bias_v","bias_factor","p_sets_select","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta"
27,"Trip bias 30%","vessels",0.0108450036570991,0.0107570130411069,8.79906159921737e-05,0.816508336821073,-0.00800966890929642,0.0095425570620256,-70.2209416887792,90.2718121625455,12,0.3,0,-2,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42
28,"Baseline 100%","sets",0.0107071739213255,0.0106178886588569,8.92852624686213e-05,0.833671581113816,-0.00324874577171802,0.00415750919452081,-32.3433688422811,36.8068014831114,13,1,0,0,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42
28,"Baseline 100%","trips",0.0106508083016232,0.0106178886588569,3.29196427662605e-05,0.413177098427211,-0.00337228695995686,0.00373289263518931,-33.6039131631787,37.9278480103155,13,1,0,0,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42
28,"Baseline 100%","vessels",0.010713740151563,0.0106178886588569,9.58514927060802e-05,0.941126765478042,-0.00349707557669197,0.00401317133158686,-32.9496605235608,37.691798179599,13,1,0,0,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42
29,"Vessel bias 100%","sets",0.0107918750523388,0.0106949441686397,9.69308836991154e-05,0.870208313693452,-0.00340730996682837,0.00384726725500217,-32.4956113060951,35.5110249817996,14,1,-2,0,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42
29,"Vessel bias 100%","trips",0.0106921158759636,0.0106949441686397,-2.82829267606401e-06,-0.0213225456546288,-0.00363097440191176,0.00366865363830226,-34.3379685231709,34.9564729503666,14,1,-2,0,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42
29,"Vessel bias 100%","vessels",0.0107361049315245,0.0106949441686397,4.11607628848543e-05,0.423263101413422,-0.00341612797736753,0.00372597985221867,-31.5214266471271,36.5542500636618,14,1,-2,0,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42
30,"Trip bias 100%","sets",0.0107541675424303,0.0107455436660887,8.62387634155325e-06,0.0994857373031727,-0.00355972138783979,0.00378783133001418,-32.7927922798003,37.2048894970042,15,1,0,-2,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42
30,"Trip bias 100%","trips",0.0106944628426136,0.0107455436660887,-5.10808234751313e-05,-0.448006452358658,-0.00359668109106422,0.00377153413643267,-31.5012321481918,34.5057022152739,15,1,0,-2,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42
30,"Trip bias 100%","vessels",0.0107442818978421,0.0107455436660887,-1.26176824669088e-06,-0.0092675925107631,-0.00358819662823333,0.00393422457941112,-34.0449130400293,37.2825008487941,15,1,0,-2,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42
